epoch,train_loss,val_loss_raw,val_loss_proj,val_accuracy_raw,val_accuracy_proj,val_gap_raw,val_gap_proj,val_logit_std_raw,val_logit_std_proj,val_constraint_satisfied,val_solver_status,lr,epoch_time_sec
0,0.6563361614707887,0.6330462098121643,0.6463896632194519,0.6470677852630615,0.6308847665786743,0.3688383251428604,0.0006623044610023499,0.6529917120933533,0.6244168877601624,True,optimal,0.0001,192.42
1,0.626131886290753,0.6144779324531555,0.6307751536369324,0.6643161773681641,0.6468648314476013,0.46366654336452484,0.0006623566150665283,0.7650642395019531,0.7265774011611938,True,optimal,0.0001,201.71
2,0.6056140171261284,0.5892077088356018,0.6089110374450684,0.6903409361839294,0.6708096861839294,0.589931309223175,0.0006753280758857727,0.8605141639709473,0.8125180006027222,True,optimal,0.0001,201.79
3,0.5737592121747535,0.5489600300788879,0.5722662806510925,0.7308745980262756,0.710024356842041,0.685534730553627,0.0006753057241439819,1.0052603483200073,0.9509096145629883,True,optimal,0.0001,212.25
4,0.5276300532611337,0.5027261972427368,0.5311827063560486,0.7573559284210205,0.7357954382896423,0.8483957350254059,0.0007012933492660522,1.2485171556472778,1.1828395128250122,True,optimal,0.0001,203.74
5,0.4811264976741761,0.4588492214679718,0.4916868209838867,0.789975643157959,0.7663859724998474,1.0251177549362183,0.0007013082504272461,1.538465142250061,1.4621407985687256,True,optimal,0.0001,210.79
6,0.4457161576259793,0.43376225233078003,0.4701336920261383,0.801948070526123,0.7799817323684692,1.2066501379013062,0.0006752610206604004,1.8342087268829346,1.7429054975509644,True,optimal,0.0001,209.53
7,0.4203370603050773,0.4067135453224182,0.4463717043399811,0.8150365352630615,0.7904322147369385,1.352098822593689,0.0006883330643177032,2.0301434993743896,1.9284265041351318,True,optimal,0.0001,208.34
8,0.40159293873103585,0.39149153232574463,0.4331153631210327,0.8246753215789795,0.7966721057891846,1.3518732190132141,0.0006622672080993652,2.126948118209839,2.026979446411133,True,optimal,0.0001,203.49
9,0.38634697588409966,0.43428415060043335,0.4742591083049774,0.8011363744735718,0.7832792401313782,1.35973534531513,0.0006232857704162598,2.2690727710723877,2.1684634685516357,True,optimal,0.0001,205.11
10,0.3742820452517412,0.3701469898223877,0.4147871732711792,0.8319298028945923,0.8093547224998474,1.4730045199394226,0.0006363466382026672,2.4388585090637207,2.3295722007751465,True,optimal,0.0001,201.25
11,0.3637015742579783,0.36235302686691284,0.40895411372184753,0.8383725881576538,0.8141741156578064,1.6455308198928833,0.0006752312183380127,2.5963966846466064,2.474942445755005,True,optimal,0.0001,214.09
12,0.3575702519398036,0.3630703389644623,0.4154402017593384,0.8348214030265808,0.8058035969734192,1.6288187950849533,0.0006753206253051758,2.613201856613159,2.493722915649414,True,optimal,0.0001,205.02
13,0.3493235399873238,0.34240439534187317,0.3945675492286682,0.8457285165786743,0.8185876607894897,1.7404046654701233,0.0006753206253051758,2.7737486362457275,2.647233724594116,True,optimal,0.0001,209.53
14,0.341909358445115,0.33983340859413147,0.3937769830226898,0.8482142686843872,0.8189935088157654,1.7397997081279755,0.0006493031978607178,2.769568681716919,2.6437289714813232,True,optimal,0.0001,225.36
