epoch,train_loss,val_loss,val_accuracy,val_max_pairwise_gap,val_logit_std,val_constraint_satisfied,lr,epoch_time_sec
0,1.442045717154063,0.6925379037857056,0.5176542401313782,2.2776424884796143e-05,0.0011406905250623822,True,0.0001,524.91
1,0.6922772419391726,0.6924893260002136,0.5176542401313782,3.3952295780181885e-05,0.0007556435884907842,True,0.0001,512.61
2,0.6921736266591443,0.6923756003379822,0.5176542401313782,0.00016414374113082886,0.0009204794769175351,True,0.0001,514.68
3,0.6920817564005369,0.6922801733016968,0.5176542401313782,0.00010975450277328491,0.0012832352658733726,True,0.0001,506.04
4,0.6919489679869075,0.6919822096824646,0.5176542401313782,0.00025568902492523193,0.002431135391816497,True,0.0001,546.31
5,0.6919069692135045,0.6919527649879456,0.5176542401313782,0.0005886033177375793,0.00250277784653008,True,0.0001,513.5
