lambda,gap,satisfied,loss,accuracy,max_pairwise_gap,logit_std,constraint_satisfied
10000.0,7.897615432739258e-06,True,0.6925277709960938,0.5176542401313782,7.897615432739258e-06,0.00017783189832698554,True
1000.0,6.012618541717529e-06,True,0.6925503015518188,0.5176542401313782,6.012618541717529e-06,0.00010922392539214343,True
100.0,0.0004484429955482483,True,0.6916152834892273,0.5176542401313782,0.0004484429955482483,0.004319682717323303,True
10.0,0.024255648255348206,False,0.6297755241394043,0.6426542401313782,0.024255648255348206,0.3488856554031372,False
