epoch,train_loss,val_loss,val_accuracy,val_max_pairwise_gap,val_logit_std,val_constraint_satisfied,lr,epoch_time_sec
0,0.3539881542430494,0.2575734257698059,0.8944805264472961,0.0004770606756210327,3.8892719745635986,True,0.0001,627.99
1,0.25354392862301195,0.23140870034694672,0.9080255627632141,0.0005012676119804382,4.073143482208252,True,0.0001,645.62
2,0.23345710015465695,0.22233006358146667,0.9125405550003052,0.00046422332525253296,4.210461139678955,True,0.0001,657.63
3,0.22151375504381254,0.21802771091461182,0.9166497588157654,0.00042604655027389526,4.660735607147217,True,0.0001,663.41
4,0.21548526044136607,0.21182216703891754,0.9185267686843872,0.000451892614364624,4.465559482574463,True,0.0001,643.6
5,0.2116652322355167,0.20956926047801971,0.9192877411842346,0.00039484351873397827,4.373594284057617,True,0.0001,653.78
6,0.20667576163163393,0.21010376513004303,0.9197443127632141,0.0003129541873931885,4.52325439453125,True,0.0001,657.4
7,0.203215263615466,0.2035728245973587,0.9222301244735718,0.0004427209496498108,4.250537395477295,True,0.0001,660.81
8,0.2003189112055011,0.2051001489162445,0.9224330186843872,0.000522911548614502,4.650657653808594,True,0.0001,651.75
9,0.198250992385494,0.20269998908042908,0.9234476685523987,0.0003047138452529907,4.483515739440918,True,0.0001,654.45
10,0.1950308072783208,0.20442333817481995,0.9213677048683167,0.000354766845703125,4.583850383758545,True,0.0001,654.42
11,0.19315570480520924,0.20259502530097961,0.9241071343421936,0.000250205397605896,4.691169261932373,True,0.0001,650.17
12,0.19133706729254102,0.20337359607219696,0.923701286315918,0.00036531686782836914,4.6910247802734375,True,0.0001,660.88
13,0.18812048000716056,0.19958136975765228,0.924868106842041,0.0003972649574279785,4.527368545532227,True,0.0001,648.21
14,0.18835530173424608,0.20383711159229279,0.9223822951316833,0.00024813413619995117,4.485665798187256,True,0.0001,670.13
