epoch,train_loss,val_loss,val_accuracy,val_max_pairwise_gap,val_logit_std,val_constraint_satisfied,lr,epoch_time_sec
0,0.4181350337942754,0.30970335006713867,0.8662236332893372,0.0006856555119156837,3.0144894123077393,True,0.0001,214.81
1,0.27074630546757555,0.27254050970077515,0.8869216442108154,0.0005179233849048615,3.4901952743530273,True,0.0001,257.47
2,0.24180599244560783,0.25638946890830994,0.8959009647369385,0.0006067901849746704,3.6824796199798584,True,0.0001,262.39
3,0.22624269763785085,0.24683256447315216,0.9007203578948975,0.0004643276333808899,3.857856273651123,True,0.0001,257.68
4,0.21616079835441168,0.2400309145450592,0.9021915793418884,0.0005807206034660339,3.983717918395996,True,0.0001,249.23
5,0.20888294391040726,0.23594851791858673,0.9034598469734192,0.0004920065402984619,4.060370445251465,True,0.0001,242.48
6,0.20207845234260785,0.23241350054740906,0.9055397510528564,0.0004927963018417358,4.2198486328125,True,0.0001,241.04
7,0.1971623963141066,0.23021844029426575,0.9067572951316833,0.0004642009735107422,4.308073043823242,True,0.0001,242.94
8,0.19212466330509487,0.22743844985961914,0.9076197147369385,0.0004363805055618286,4.352031707763672,True,0.0001,246.15
9,0.18780120715616255,0.2262233942747116,0.9086343050003052,0.0003407895565032959,4.449591159820557,True,0.0001,245.0
10,0.18325365202164087,0.22576230764389038,0.908329963684082,0.00031700730323791504,4.606071472167969,True,0.0001,245.93
11,0.17937214401528592,0.22576193511486053,0.9084314107894897,0.0003133714199066162,4.669830322265625,True,0.0001,243.04
12,0.1765153653039707,0.2245546132326126,0.9104606509208679,0.0002450793981552124,4.705018520355225,True,0.0001,243.37
13,0.1729998645468021,0.22432580590248108,0.9099533557891846,0.0003172755241394043,4.790742874145508,True,0.0001,256.95
14,0.171181728978326,0.22382131218910217,0.9117796421051025,0.0004103034734725952,4.772481918334961,True,0.0001,238.28
