epoch,train_loss,val_loss,val_accuracy,val_max_pairwise_gap,val_logit_std,val_constraint_satisfied,lr,epoch_time_sec
0,0.7704863626187242,0.6924930214881897,0.5176542401313782,0.0001739785075187683,0.004563967231661081,True,0.0001,198.09
1,0.6929682067060096,0.6924492716789246,0.5176542401313782,0.00011288374662399292,0.0023559555411338806,True,0.0001,203.58
2,0.6925106096455431,0.6924598217010498,0.5176542401313782,0.00010423362255096436,0.0015495017869397998,True,8e-05,206.52
3,0.692379527580081,0.6924316883087158,0.5176542401313782,8.681416511535645e-05,0.0014936639927327633,True,8e-05,203.13
4,0.6923556252727359,0.6924372911453247,0.5176542401313782,6.619095802307129e-05,0.0012732560280710459,True,6.400000000000001e-05,209.39
5,0.6923259087434904,0.6924026012420654,0.5176542401313782,6.255507469177246e-05,0.0013522179797291756,True,6.400000000000001e-05,215.0
