loss,accuracy,max_pairwise_gap,logit_std,constraint_satisfied,total_training_time_sec,num_epochs,model_type,backbone,head,lora,freeze_backbone,penalty_lambda,loss_raw,loss_proj,accuracy_raw,accuracy_proj,gap_raw,gap_proj,logit_std_raw,logit_std_proj,solver_status
0.6882827653604395,0.5506433823529412,8.45491886138916e-05,0.0007192899938672781,True,1036.38,4,penalty,densenet121,mlp,False,False,100.0,,,,,,,,,
0.6882206503082724,0.5506433823529412,5.285441875457764e-05,0.00024178998137358576,True,1228.59,4,penalty,swin_t,mlp,False,False,100.0,,,,,,,,,
0.6882365226745606,0.5506433823529412,6.392598152160645e-05,0.0006440263241529465,True,1053.6,4,strict_penalty,densenet121,mlp,False,False,10000.0,,,,,,,,,
0.6882639492259306,0.5506433823529412,3.275275230407715e-05,0.00017131042841356248,True,1166.12,4,strict_penalty,swin_t,mlp,False,False,10000.0,,,,,,,,,
,,,,True,2998.4,13,baseline,densenet121,mlp,False,False,,0.44068312644958496,0.5099466443061829,0.7871323823928833,0.7388786673545837,2.752691388130188,9.292364120483398e-05,2.6940553188323975,2.4327733516693115,optimal
,,,,True,8045.48,28,baseline,swin_t,mlp,False,False,,0.38437405228614807,0.517044186592102,0.8195772171020508,0.7646139860153198,3.645675778388977,7.998943328857422e-05,4.375136375427246,3.9966037273406982,optimal
0.48766839539303497,0.7623161764705882,0.0001043081283569336,2.1648831367492676,False,6184.2,18,fair,densenet121,mlp,False,False,,,,,,,,,,
0.4329434854142806,0.8080882352941177,0.00012239813804626465,2.5038840770721436,False,13899.3,35,fair,swin_t,mlp,False,False,,,,,,,,,,
,,,,False,1383.67,14,baseline,resnet18,mlp,False,False,,0.453873872756958,0.4976719915866852,0.7809709906578064,0.747860848903656,2.747313916683197,0.00010001659393310547,2.6403772830963135,2.4471962451934814,optimal
,,,,False,3592.91,36,baseline,simple_cnn,mlp,False,False,,0.5765239596366882,0.6010835766792297,0.6932663917541504,0.670293927192688,1.4676203429698944,0.00010000169277191162,1.316575527191162,1.2114158868789673,optimal
,,,,False,3999.93,10,baseline,vit_b_16,mlp,True,False,,0.4345487952232361,0.48914822936058044,0.7872023582458496,0.754092276096344,3.047189235687256,0.00010001659393310547,3.0768239498138428,2.8784000873565674,optimal
0.48582777806690763,0.7616257440476191,0.0001119077205657959,2.033590316772461,False,2238.49,14,fair,resnet18,mlp,False,False,,,,,,,,,,
0.598424650373913,0.6728980654761905,2.644956111907959e-05,1.092340111732483,True,6051.6,37,fair,simple_cnn,mlp,False,False,,,,,,,,,,
0.4730524967114131,0.7749255952380952,0.00020036101341247559,2.0924315452575684,False,8087.1,12,fair,vit_b_16,mlp,True,False,,,,,,,,,,
0.6884062659172785,0.5495721726190477,5.4836273193359375e-06,3.035623194591608e-05,True,786.29,8,penalty,resnet18,mlp,False,False,10000.0,,,,,,,,,
0.6884616883028121,0.5495721726190477,0.0011217594146728516,0.006067437119781971,False,473.47,4,penalty,simple_cnn,mlp,False,False,10000.0,,,,,,,,,
0.688427285069511,0.5495721726190477,0.0001017153263092041,0.0005293969297781587,False,1756.55,4,penalty,vit_b_16,mlp,True,False,100.0,,,,,,,,,
0.6884062659172785,0.5495721726190477,5.4836273193359375e-06,3.035623194591608e-05,True,793.5,8,strict_penalty,resnet18,mlp,False,False,10000.0,,,,,,,,,
0.6884616883028121,0.5495721726190477,0.0011217594146728516,0.006067437119781971,False,443.0,4,strict_penalty,simple_cnn,mlp,False,False,10000.0,,,,,,,,,
0.6884013712406158,0.5495721726190477,1.9371509552001953e-06,1.4126893802313134e-05,True,2151.27,5,strict_penalty,vit_b_16,mlp,True,False,10000.0,,,,,,,,,
