loss_raw,loss_proj,accuracy_raw,accuracy_proj,gap_raw,gap_proj,logit_std_raw,logit_std_proj,constraint_satisfied,solver_status,total_training_time_sec,num_epochs,model_type,backbone,head,lora,freeze_backbone,loss,accuracy,max_pairwise_gap,logit_std,penalty_lambda
0.1770414263010025,0.2661784887313843,0.9281148314476013,0.8929585814476013,3.3754560351371765,0.0006883144378662109,5.488097667694092,5.178835391998291,True,optimal,3403.93,7,baseline,densenet121,mlp,False,False,,,,,
0.18653029203414917,0.27910542488098145,0.9236505627632141,0.8851968050003052,3.3790692687034607,0.0006492733955383301,5.362644195556641,5.057772159576416,True,optimal,2312.32,11,baseline,resnet18,mlp,False,False,,,,,
0.3469570279121399,0.4142023026943207,0.8422788381576538,0.8087966442108154,1.4684301912784576,0.0006363987922668457,2.7679336071014404,2.6336255073547363,True,optimal,3104.43,15,baseline,simple_cnn,mlp,False,False,,,,,
0.17235195636749268,0.2772655189037323,0.9285714030265808,0.8882406949996948,3.8355547189712524,0.0006752610206604004,6.043776512145996,5.6909074783325195,True,optimal,4013.79,7,baseline,swin_t,mlp,False,False,,,,,
0.19541539251804352,0.28893759846687317,0.9184760451316833,0.8760145902633667,3.032389283180237,0.0006363987922668457,4.96325159072876,4.686918258666992,True,optimal,5646.65,7,baseline,vit_b_16,mlp,True,False,,,,,
,,,,,,,,True,,6957.53,12,fair,densenet121,mlp,False,False,0.2218189239501953,0.9149249196052551,0.0004344433546066284,4.246812343597412,
,,,,,,,,True,,3686.78,15,fair,resnet18,mlp,False,False,0.23970244824886322,0.9038149118423462,0.00032836198806762695,4.71260404586792,
,,,,,,,,True,,3357.78,15,fair,simple_cnn,mlp,False,False,0.4056333899497986,0.8140726685523987,0.0004927515983581543,2.384253978729248,
,,,,,,,,True,,9800.25,15,fair,swin_t,mlp,False,False,0.21143124997615814,0.9177150726318359,0.00033906102180480957,4.459936141967773,
,,,,,,,,True,,13234.83,15,fair,vit_b_16,mlp,True,False,0.2303875833749771,0.9061992764472961,0.0003492310643196106,4.253345012664795,
,,,,,,,,True,,3118.05,6,penalty,densenet121,mlp,False,False,0.6933499574661255,0.5014204382896423,0.00019533932209014893,0.0024490158539265394,100.0
,,,,,,,,False,,564.05,3,penalty,resnet18,mlp,False,False,0.6928138136863708,0.4997463524341583,0.009815402328968048,0.036799728870391846,100.0
,,,,,,,,True,,1235.72,6,penalty,simple_cnn,mlp,False,False,0.6936931610107422,0.5014204382896423,0.00020019710063934326,0.0013614353956654668,100.0
,,,,,,,,True,,3419.75,6,penalty,swin_t,mlp,False,False,0.6933107376098633,0.5014204382896423,0.0004932507872581482,0.002496463479474187,100.0
,,,,,,,,True,,2217.72,3,penalty,vit_b_16,mlp,True,False,0.6937398910522461,0.5013697147369385,0.00033041834831237793,0.006356372963637114,100.0
,,,,,,,,True,,1474.05,3,strict_penalty,densenet121,mlp,False,False,0.6937792897224426,0.5014204382896423,6.161630153656006e-06,0.00023119902471080422,10000.0
,,,,,,,,True,,809.11,4,strict_penalty,resnet18,mlp,False,False,0.6936603784561157,0.5014204382896423,6.128847599029541e-05,0.0015314407646656036,10000.0
,,,,,,,,True,,872.41,4,strict_penalty,simple_cnn,mlp,False,False,0.6938031911849976,0.5014204382896423,5.058944225311279e-06,0.00020244860206730664,10000.0
,,,,,,,,True,,1702.97,3,strict_penalty,swin_t,mlp,False,False,0.6936550736427307,0.5014204382896423,8.791685104370117e-06,0.00027982814935967326,10000.0
,,,,,,,,True,,2840.47,4,strict_penalty,vit_b_16,mlp,True,False,0.6937803626060486,0.5014204382896423,1.623481512069702e-05,0.0003399423439987004,10000.0
