epoch,train_loss,val_loss,val_accuracy,val_max_pairwise_gap,val_logit_std,val_constraint_satisfied,lr,epoch_time_sec
0,274.9655607376948,0.6899039546648661,0.5402462121212122,3.3289194107055664e-05,0.00014382619701791555,True,0.0001,439.2
1,0.6948680006841639,0.6899039528586648,0.5402462121212122,6.5267086029052734e-06,3.9843213016865775e-05,True,0.0001,438.83
2,0.6902273369676466,0.6899056145639131,0.5402462121212122,6.5267086029052734e-06,3.9843213016865775e-05,True,8e-05,429.28
3,0.6901481352055826,0.6899061600367228,0.5402462121212122,6.5267086029052734e-06,3.9843213016865775e-05,True,8e-05,397.02
4,0.689976713714099,0.6899060733390577,0.5402462121212122,6.5267086029052734e-06,3.9843213016865775e-05,True,6.400000000000001e-05,430.16
