epoch,train_loss,val_loss,val_accuracy,val_max_pairwise_gap,val_logit_std,val_constraint_satisfied,lr,epoch_time_sec
0,0.5058712518488999,0.4723929970553427,0.7573390151515151,2.251192629337311,1.9964603185653687,False,0.0001,400.02
1,0.45856586585189596,0.45538498145161255,0.7718986742424242,2.269948422908783,2.236632823944092,False,0.0001,403.91
2,0.43788756502271187,0.44650476538773737,0.7729640151515151,2.482821464538574,2.446854829788208,False,0.0001,397.4
3,0.42267379800348226,0.4437879034967134,0.7761600378787878,2.8932870030403137,2.762995958328247,False,0.0001,398.12
4,0.40784064162647854,0.44244181206732086,0.7805397727272727,2.6993115544319153,2.8157119750976562,False,0.0001,397.29
5,0.39334219487550515,0.4442420683123849,0.7804214015151515,2.584344804286957,2.9690818786621094,False,0.0001,396.04
6,0.3785288403570114,0.43605395519372186,0.783499053030303,2.8930894136428833,3.0718932151794434,False,0.0001,396.5
7,0.3648690952322735,0.4469142122702165,0.7787642045454546,3.002320945262909,3.4393553733825684,False,0.0001,398.17
8,0.35110380338585895,0.44739712368358264,0.78125,3.2427905797958374,3.6431996822357178,False,8e-05,397.48
9,0.33107755712743075,0.4564590977899956,0.7811316287878788,3.4672011137008667,3.885270833969116,False,8e-05,398.28
