epoch,train_loss,val_loss,val_accuracy,val_max_pairwise_gap,val_logit_std,val_constraint_satisfied,lr,epoch_time_sec
0,211.129896693912,0.6899043827345877,0.5402462121212122,5.1140785217285156e-05,0.00024399824906140566,True,0.0001,92.48
1,0.691339040861318,0.6899048324787256,0.5402462121212122,2.175569534301758e-06,1.450503714295337e-05,True,0.0001,98.28
2,0.6903971592454534,0.689905274998058,0.5402462121212122,6.22868537902832e-06,3.3167078072438017e-05,True,8e-05,97.36
3,0.6901792601535195,0.6899041876648412,0.5402462121212122,0.0,0.0,True,8e-05,98.55
4,0.6901865785843447,0.6899033658432238,0.5402462121212122,5.885958671569824e-06,2.993868474732153e-05,True,6.400000000000001e-05,98.66
5,0.6901543361968115,0.6899042960369226,0.5402462121212122,0.0,0.0,True,6.400000000000001e-05,99.62
6,0.690228263602445,0.6899042201764656,0.5402462121212122,0.0,0.0,True,5.120000000000001e-05,98.43
7,0.6900303248119982,0.6899043917655945,0.5402462121212122,1.2367963790893555e-06,9.548163689032663e-06,True,5.120000000000001e-05,98.0
