epoch,train_loss,val_loss,val_accuracy,val_max_pairwise_gap,val_logit_std,val_constraint_satisfied,lr,epoch_time_sec
0,0.5331750557634044,0.481064306711083,0.753964552238806,2.405771017074585,1.9033844470977783,False,0.0001,283.14
1,0.4806312200764717,0.4589372419599277,0.7673740671641791,2.5393927693367004,2.201643943786621,False,0.0001,286.71
2,0.46187746740131347,0.4450011515795295,0.777402052238806,2.7605648040771484,2.488330602645874,False,0.0001,286.35
3,0.4495335051480968,0.4350771686034416,0.7873134328358209,2.82338285446167,2.6078994274139404,False,0.0001,286.78
4,0.4394984192938249,0.4304904884366847,0.7895289179104478,2.9609715938568115,2.7911341190338135,False,0.0001,286.28
5,0.4308276324240836,0.42929992435583425,0.7877798507462687,2.846904218196869,2.803765296936035,False,0.0001,286.73
6,0.42252428797861236,0.4202932137161938,0.7932602611940298,3.158042788505554,3.106940507888794,False,0.0001,286.52
7,0.4170298046862159,0.416213107198032,0.7965251865671642,3.191232144832611,3.155064582824707,False,0.0001,287.02
8,0.4106463981770921,0.4126439637212611,0.7993236940298507,3.2744187712669373,3.2524373531341553,False,0.0001,286.45
9,0.4058457843971566,0.4103106442672103,0.8015391791044776,3.2681100964546204,3.359057664871216,False,0.0001,286.93
10,0.40126560694478414,0.4051717933434159,0.8031716417910447,3.326974630355835,3.474478006362915,False,0.0001,286.67
11,0.3972814916487789,0.40103061563933073,0.8060867537313433,3.4061598777770996,3.557903528213501,False,0.0001,286.74
12,0.3923283547211946,0.39998767046786066,0.808652052238806,3.4163016080856323,3.602165937423706,False,0.0001,286.52
13,0.3878488687458884,0.4069347888676088,0.8066697761194029,3.3932286500930786,3.671905040740967,False,0.0001,286.78
14,0.3856002010637512,0.395637121218354,0.808652052238806,3.24871027469635,3.6571364402770996,False,0.0001,287.46
15,0.380425500507621,0.3992962392408456,0.8107509328358209,3.673540949821472,4.021470069885254,False,0.0001,286.84
16,0.37758932525692707,0.3932471101853385,0.8121501865671642,3.4552894830703735,3.8245158195495605,False,0.0001,287.26
17,0.37457938318573586,0.3918448446401909,0.8127332089552238,3.260666847229004,3.8133559226989746,False,0.0001,287.4
18,0.3710477923965219,0.39499452443265204,0.8125,3.49261736869812,4.017777442932129,False,0.0001,287.54
19,0.3671205493029702,0.3906370957395924,0.8136660447761194,3.5885515213012695,4.075207233428955,False,0.0001,287.18
20,0.36614383284877283,0.3921272639018386,0.8145988805970149,3.638370990753174,4.155003547668457,False,0.0001,287.86
21,0.36257546078199626,0.3979703628305179,0.8161147388059702,3.4516493678092957,4.109890937805176,False,8e-05,287.39
22,0.360376565522944,0.387072801145155,0.8177472014925373,3.6074066162109375,4.22084379196167,False,8e-05,287.35
23,0.35582232913262346,0.3892321128453781,0.8175139925373134,3.736013889312744,4.369986534118652,False,8e-05,287.36
24,0.3538764663811388,0.3869060962947447,0.8176305970149254,3.646403431892395,4.3877153396606445,False,8e-05,287.69
25,0.351511126228154,0.3945040355867414,0.8183302238805971,3.6740084886550903,4.477268218994141,False,8e-05,288.05
26,0.3500875729107113,0.38865993449937053,0.8192630597014925,3.622674584388733,4.461039066314697,False,6.400000000000001e-05,287.51
27,0.34613806359188504,0.39012203198760304,0.8199626865671642,3.865636110305786,4.647915840148926,False,6.400000000000001e-05,287.14
