epoch,train_loss,val_loss,val_accuracy,val_max_pairwise_gap,val_logit_std,val_constraint_satisfied,lr,epoch_time_sec
0,0.6096117930067779,0.5711514843043997,0.6897154850746269,5.379319190979004e-05,1.0744414329528809,True,0.0001,337.07
1,0.555975469756009,0.5462262577085353,0.7090718283582089,4.607439041137695e-05,1.2920269966125488,True,0.0001,339.4
2,0.5311465597602926,0.5342673952899762,0.7179337686567164,6.854534149169922e-05,1.5090265274047852,True,0.0001,343.02
3,0.5150024499407738,0.5221025534530184,0.7284281716417911,3.956258296966553e-05,1.56302809715271,True,0.0001,343.09
4,0.5048855916522015,0.5163212298457303,0.7307602611940298,5.581974983215332e-05,1.7023385763168335,True,0.0001,344.04
5,0.4943918842693855,0.5171739988362611,0.7328591417910447,7.2479248046875e-05,1.683227300643921,True,0.0001,342.97
6,0.4857638505683548,0.5063430484551102,0.7413712686567164,4.476308822631836e-05,1.7564139366149902,True,0.0001,343.15
7,0.4767169532517494,0.5052227769325028,0.7433535447761194,7.599592208862305e-05,1.917150616645813,True,0.0001,343.82
8,0.4692998273521417,0.5000109752612327,0.7468516791044776,9.313225746154785e-05,1.8948347568511963,True,0.0001,343.6
9,0.4595258527103512,0.4978536567581234,0.7496501865671642,0.00013378262519836426,1.9630229473114014,False,0.0001,342.91
10,0.4538046057490488,0.4976805497461291,0.7548973880597015,9.548664093017578e-05,2.042976140975952,True,0.0001,342.13
11,0.44677295101491493,0.4964841239487947,0.7566464552238806,0.0001239180564880371,2.1269047260284424,False,0.0001,343.95
12,0.43929928374799404,0.49552871976325763,0.7578125,0.00011301040649414062,2.127664566040039,False,0.0001,343.16
13,0.43222662077357227,0.5008217123017382,0.7586287313432836,7.337331771850586e-05,2.187755584716797,True,0.0001,343.44
14,0.4278161404853188,0.49540210037089105,0.7573460820895522,0.00011748075485229492,2.1627559661865234,False,0.0001,344.84
15,0.42252753183172254,0.49716490284720466,0.7594449626865671,9.956955909729004e-05,2.245905876159668,True,0.0001,338.47
16,0.4146510667988819,0.4975467524421749,0.7602611940298507,0.00010824203491210938,2.273972272872925,False,8e-05,342.85
17,0.4075510370711779,0.49921532709207106,0.7604944029850746,0.00010150671005249023,2.275622844696045,False,8e-05,342.12
