epoch,train_loss,val_loss,val_accuracy,val_max_pairwise_gap,val_logit_std,val_constraint_satisfied,lr,epoch_time_sec
0,23.148077931728785,0.6899635097873744,0.5398787313432836,9.08970832824707e-05,0.0004458903567865491,True,0.0001,257.25
1,0.6902037566073905,0.6899647961801557,0.5398787313432836,4.32133674621582e-05,0.00023838684137444943,True,0.0001,241.93
2,0.6903591239618609,0.6899665531827442,0.5398787313432836,4.673004150390625e-05,0.00021125480998307467,True,8e-05,260.58
3,0.6901671748556398,0.6899653699860644,0.5398787313432836,4.500150680541992e-05,0.00020491989562287927,True,8e-05,268.37
