epoch,train_loss,val_loss,val_accuracy,val_max_pairwise_gap,val_logit_std,val_constraint_satisfied,lr,epoch_time_sec
0,0.5982128956208104,0.5548331972324487,0.7080965909090909,7.045269012451172e-05,1.2845455408096313,True,0.0001,160.63
1,0.5347174452127594,0.5345378093647234,0.7256155303030303,5.8457255363464355e-05,1.4692814350128174,True,0.0001,168.46
2,0.5134976381730092,0.5237085250290957,0.734375,7.075071334838867e-05,1.5964893102645874,True,0.0001,162.69
3,0.49838924711864246,0.5176829786011667,0.7383996212121212,6.580352783203125e-05,1.7040705680847168,True,0.0001,161.16
4,0.485456019345867,0.513259414470557,0.7424242424242424,9.834766387939453e-05,1.7048277854919434,True,0.0001,162.9
5,0.47626500576734543,0.5083942711353302,0.7476325757575758,8.529424667358398e-05,1.8161500692367554,True,0.0001,155.39
6,0.46625199551252944,0.5035615355679484,0.7556818181818182,0.0001093149185180664,1.8629977703094482,False,0.0001,155.26
7,0.45578297776611226,0.5042363947088068,0.7540246212121212,0.00011713802814483643,1.9079622030258179,False,0.0001,156.36
8,0.44863365335684074,0.5018929432738911,0.7584043560606061,0.00012215971946716309,2.0044314861297607,False,0.0001,157.15
9,0.44092704159648793,0.50132329807137,0.7566287878787878,0.00011050701141357422,1.9110702276229858,False,0.0001,159.19
10,0.43029600224996867,0.49864284468419623,0.7623106060606061,0.00018593668937683105,2.050215005874634,False,0.0001,158.09
11,0.42190117261519555,0.5023736935673337,0.7630208333333334,0.00012663006782531738,2.201874256134033,False,0.0001,159.11
12,0.4135165535109608,0.5120224763046611,0.7605350378787878,0.000186920166015625,2.170578718185425,False,8e-05,154.56
13,0.40381441471215923,0.5040972594058875,0.7657433712121212,0.00019659101963043213,2.293893337249756,False,8e-05,156.95
