epoch,train_loss,val_loss,val_accuracy,val_max_pairwise_gap,val_logit_std,val_constraint_satisfied,lr,epoch_time_sec
0,0.5617711707839621,0.5111410337867159,0.7392282196969697,8.922815322875977e-05,1.5362842082977295,True,0.0001,673.84
1,0.5283515035519354,0.495339344848286,0.7534327651515151,7.081031799316406e-05,1.5777757167816162,True,0.0001,674.08
2,0.5141623443614468,0.48895884914831683,0.7586410984848485,0.0001138448715209961,1.7601897716522217,False,0.0001,668.76
3,0.5007276033846642,0.4848433534304301,0.7620738636363636,0.00014519691467285156,1.8562366962432861,False,0.0001,667.88
4,0.4904166066421653,0.48167879202149133,0.7658617424242424,0.0001620948314666748,1.888026475906372,False,0.0001,666.82
5,0.47966297940214314,0.47947742812561267,0.7684659090909091,0.00011217594146728516,1.889857292175293,False,0.0001,668.59
6,0.4704387796472779,0.47902503790277423,0.7723721590909091,0.00013059377670288086,2.077277183532715,False,0.0001,667.51
7,0.46096869870421336,0.47978258674794977,0.7681107954545454,0.0001411736011505127,2.1094510555267334,False,0.0001,671.42
8,0.45278877577300536,0.4781977091774796,0.7707149621212122,0.0001385807991027832,2.0802016258239746,False,0.0001,669.59
9,0.43530066115774024,0.4844680925210317,0.7726089015151515,0.0001615583896636963,2.274509906768799,False,0.0001,676.13
10,0.42777833687271416,0.4896255307125323,0.7714251893939394,0.00016555190086364746,2.1925668716430664,False,8e-05,680.11
11,0.41422045866517965,0.4976590673128764,0.7737926136363636,0.00011491775512695312,2.393648386001587,False,8e-05,679.97
