epoch,train_loss,val_loss,val_accuracy,val_max_pairwise_gap,val_logit_std,val_constraint_satisfied,lr,epoch_time_sec
0,0.6817341929203585,0.67177102060029,0.5830965909090909,0.2270844429731369,0.2510383129119873,False,0.0001,103.67
1,0.6656382368191293,0.6567901932831967,0.6109138257575758,0.42940789461135864,0.42729854583740234,False,0.0001,113.15
2,0.6496120624636349,0.6379510236508918,0.6413352272727273,0.6257612258195877,0.567616879940033,False,0.0001,97.61
3,0.6382893535651659,0.6310351960586779,0.6433475378787878,0.67640171200037,0.6684649586677551,False,0.0001,106.52
4,0.6311003828519269,0.6263410232283853,0.6487926136363636,0.7603843342512846,0.7216806411743164,False,0.0001,93.53
5,0.6262223969556784,0.6218199603485338,0.6531723484848485,0.8202965408563614,0.7622309923171997,False,0.0001,114.18
6,0.6198808682200155,0.6169803034175526,0.657907196969697,0.8544373214244843,0.8029806613922119,False,0.0001,100.19
7,0.6142910152281585,0.6124644442038103,0.6589725378787878,0.919473446905613,0.8481864929199219,False,0.0001,104.25
8,0.610547162592411,0.6097172751571193,0.6614583333333334,0.9251813143491745,0.8780829310417175,False,0.0001,99.64
9,0.606819131460629,0.6073717547185493,0.6670217803030303,0.9405635744333267,0.8998551964759827,False,0.0001,98.03
10,0.6030473105217281,0.6067022428368077,0.6615767045454546,0.9304979145526886,0.9016147255897522,False,0.0001,96.25
11,0.599428515685232,0.6024583397489606,0.6710464015151515,0.9710928499698639,0.940691351890564,False,0.0001,95.8
12,0.5966047276007501,0.6225155339096532,0.654592803030303,1.0148579478263855,0.9638005495071411,False,0.0001,98.94
13,0.5943520339696031,0.59824779178157,0.6743607954545454,1.0717027485370636,1.0106385946273804,False,0.0001,98.36
14,0.5915758448996042,0.5954687324437228,0.6766098484848485,1.0746422708034515,1.0071083307266235,False,0.0001,97.68
15,0.5887557219125723,0.6194366252783573,0.6571969696969697,1.0939369350671768,1.0275958776474,False,0.0001,97.69
16,0.5870406059058089,0.5949143406116602,0.6754261363636364,1.106454849243164,1.0645285844802856,False,0.0001,97.36
17,0.5851037988537237,0.6001911669066458,0.6699810606060606,1.142085075378418,1.0550017356872559,False,0.0001,97.59
18,0.5819263577853379,0.5889457988016533,0.6793323863636364,1.1665027439594269,1.0898628234863281,False,0.0001,98.79
19,0.5792588930773107,0.586870348814762,0.6793323863636364,1.1619887948036194,1.100124478340149,False,0.0001,97.68
20,0.578295264785227,0.5887429876761003,0.6821732954545454,1.1626587584614754,1.1060212850570679,False,0.0001,98.38
21,0.5750657053370225,0.5838827165690336,0.6808712121212122,1.2300372123718262,1.1515289545059204,False,0.0001,97.99
22,0.5723023730281153,0.5901435577508175,0.6825284090909091,1.292141243815422,1.1969637870788574,False,0.0001,98.17
23,0.5703408075006384,0.5852258476344022,0.6812263257575758,1.219767987728119,1.1549280881881714,False,8e-05,98.51
24,0.5691273818282705,0.5812505989363699,0.685842803030303,1.2139785438776016,1.1725903749465942,False,8e-05,99.07
25,0.5674692125696885,0.5817581740292636,0.6811079545454546,1.2212095260620117,1.1597920656204224,False,8e-05,97.49
26,0.565950270742178,0.5896053187774889,0.6798058712121212,1.2289436995051801,1.195377230644226,False,6.400000000000001e-05,98.97
27,0.5636454691228113,0.5789056366140192,0.6890388257575758,1.2636723965406418,1.2051427364349365,False,6.400000000000001e-05,97.86
28,0.5600860773732788,0.5773824092113611,0.6866714015151515,1.3273934721946716,1.2530251741409302,False,6.400000000000001e-05,98.6
29,0.5599812933881032,0.5764084982149529,0.6898674242424242,1.3281541913747787,1.249393105506897,False,6.400000000000001e-05,97.87
30,0.5564741109938998,0.5794243487444791,0.6880918560606061,1.3034442067146301,1.2758549451828003,False,6.400000000000001e-05,101.25
31,0.5586575124608842,0.5736693794077093,0.6895123106060606,1.2900391221046448,1.2508141994476318,False,6.400000000000001e-05,99.43
32,0.5549522329513964,0.5707498987515768,0.6895123106060606,1.3878729343414307,1.3026695251464844,False,6.400000000000001e-05,99.65
33,0.5556003302335739,0.5714174779978666,0.693063446969697,1.35103440284729,1.2953355312347412,False,6.400000000000001e-05,99.58
34,0.550412506061165,0.5841113310871702,0.6901041666666666,1.3516578245908022,1.3101022243499756,False,5.120000000000001e-05,98.73
35,0.5494235438343725,0.5725531162637653,0.6902225378787878,1.4111242294311523,1.2929774522781372,False,5.120000000000001e-05,99.56
