epoch,train_loss,val_loss,val_accuracy,val_max_pairwise_gap,val_logit_std,val_constraint_satisfied,lr,epoch_time_sec
0,0.5805640179535438,0.5306856979185076,0.7283115671641791,1.6351674795150757,1.316674828529358,False,0.0001,228.19
1,0.5156919894547298,0.5023924161249133,0.742304104477612,1.929226577281952,1.6012336015701294,False,0.0001,230.19
2,0.4892380057003698,0.4874975129739562,0.7502332089552238,2.1451955437660217,1.8138245344161987,False,0.0001,231.7
3,0.4703731538333329,0.47391779965429165,0.7608442164179104,2.2650930285453796,1.953022837638855,False,0.0001,229.24
4,0.45603600212897377,0.4667877363624857,0.7662080223880597,2.401845633983612,2.1426243782043457,False,0.0001,229.13
5,0.44331644977059076,0.46739947840349,0.765741604477612,2.3670479357242584,2.173084020614624,False,0.0001,230.13
6,0.43300819597612267,0.4543703687724783,0.7726212686567164,2.4945499300956726,2.300828695297241,False,0.0001,229.69
7,0.42107168348943463,0.45378447023790275,0.7768190298507462,2.698603630065918,2.560796022415161,False,0.0001,229.22
8,0.41251744581952277,0.4498842474239976,0.7805503731343284,2.7566898465156555,2.628613233566284,False,0.0001,231.15
9,0.401908015186955,0.4457799120625453,0.781133395522388,2.7891284823417664,2.69256591796875,False,0.0001,229.42
10,0.3939606210672601,0.44756242410460517,0.7820662313432836,2.927957057952881,2.8434245586395264,False,0.0001,230.33
11,0.38560755793096985,0.4477728654199572,0.7820662313432836,3.0971953868865967,3.0520505905151367,False,8e-05,229.46
12,0.3756283788845457,0.44710835191740916,0.785331156716418,3.090070962905884,3.1175284385681152,False,8e-05,231.33
